Halloween 2023, 2023-10-01T00:00:00.0Z, 2023-11-01T00:00:00.0Z
Halloween 2024, 2024-10-01T00:00:00.0Z, 2024-11-01T00:00:00.0Z
Halloween 2025, 2025-10-01T00:00:00.0Z, 2025-11-01T00:00:00.0Z
Halloween 2026, 2026-10-01T00:00:00.0Z, 2026-11-01T00:00:00.0Z
Halloween 2027, 2027-10-01T00:00:00.0Z, 2027-11-01T00:00:00.0Z
Halloween 2028, 2028-10-01T00:00:00.0Z, 2028-11-01T00:00:00.0Z
Halloween 2029, 2029-10-01T00:00:00.0Z, 2029-11-01T00:00:00.0Z
Halloween 2030, 2030-10-01T00:00:00.0Z, 2030-11-01T00:00:00.0Z
Halloween 2031, 2031-10-01T00:00:00.0Z, 2031-11-01T00:00:00.0Z
Halloween 2032, 2032-10-01T00:00:00.0Z, 2032-11-01T00:00:00.0Z
Halloween 2033, 2033-10-01T00:00:00.0Z, 2033-11-01T00:00:00.0Z
Thanksgiving 2023, 2023-11-01T00:00:00.0Z, 2023-12-24T00:00:00.0Z
Thanksgiving 2024, 2024-11-01T00:00:00.0Z, 2024-12-29T00:00:00.0Z
Thanksgiving 2025, 2025-11-01T00:00:00.0Z, 2025-12-28T00:00:00.0Z
Thanksgiving 2026, 2026-11-01T00:00:00.0Z, 2026-12-27T00:00:00.0Z
Thanksgiving 2027, 2027-11-01T00:00:00.0Z, 2027-12-26T00:00:00.0Z
Thanksgiving 2028, 2028-11-01T00:00:00.0Z, 2028-12-24T00:00:00.0Z
Thanksgiving 2029, 2029-11-01T00:00:00.0Z, 2029-12-23T00:00:00.0Z
Thanksgiving 2030, 2030-11-01T00:00:00.0Z, 2030-12-29T00:00:00.0Z
Thanksgiving 2031, 2031-11-01T00:00:00.0Z, 2031-12-28T00:00:00.0Z
Thanksgiving 2032, 2032-11-01T00:00:00.0Z, 2032-12-26T00:00:00.0Z
Thanksgiving 2033, 2033-11-01T00:00:00.0Z, 2033-12-25T00:00:00.0Z
Christmas 2023, 2023-12-01T00:00:00.0Z, 2024-01-06T00:00:00.0Z
Christmas 2024, 2024-12-01T00:00:00.0Z, 2025-01-06T00:00:00.0Z
Christmas 2025, 2025-12-01T00:00:00.0Z, 2026-01-06T00:00:00.0Z
Christmas 2026, 2026-12-01T00:00:00.0Z, 2027-01-06T00:00:00.0Z
Christmas 2027, 2027-12-01T00:00:00.0Z, 2028-01-06T00:00:00.0Z
Christmas 2028, 2028-12-01T00:00:00.0Z, 2029-01-06T00:00:00.0Z
Christmas 2029, 2029-12-01T00:00:00.0Z, 2030-01-06T00:00:00.0Z
Christmas 2030, 2030-12-01T00:00:00.0Z, 2031-01-06T00:00:00.0Z
Christmas 2031, 2031-12-01T00:00:00.0Z, 2032-01-06T00:00:00.0Z
Christmas 2032, 2032-12-01T00:00:00.0Z, 2033-01-06T00:00:00.0Z
Christmas 2033, 2033-12-01T00:00:00.0Z, 2034-01-06T00:00:00.0Z
